"dv","ivs","cc","demog","inter"
"ispdepr","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispdepr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispdepr","isphandler d1sex p1sex d1racewhbl p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispdepr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispdepr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispdepr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"ispdepr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"ispdepr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"ispdepr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"ispdepr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"ispdepr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"ispdepr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"ispdepr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"ispdepr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"ispdepr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"ispdepr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"ispdepr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"ispdepr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1sex"
"ispdepr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1sex"
"ispdepr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1racewhbl"
"ispdepr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1racewhbl"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
