"dv","ivs","cc","demog","inter"
"f3","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ","ccd","d1sex p1sex d1racewhbl p1racewhbl",""
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1sex","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1sex"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*p1sex","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*p1sex"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*p1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*p1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1sex ccd*p1sex","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1sex ccd*p1sex"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1sex ccd*d1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1sex ccd*d1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1sex ccd*p1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1sex ccd*p1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*p1sex ccd*d1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*p1sex ccd*d1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*p1sex ccd*p1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*p1sex ccd*p1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1racewhbl ccd*p1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1racewhbl ccd*p1racewhbl"
"f3","ccd d1sex p1sex d1racewhbl p1racewhbl ccd*d1sex ccd*p1sex ccd*d1racewhbl","ccd","d1sex p1sex d1racewhbl p1racewhbl","ccd*d1sex ccd*p1sex ccd*d1racewhbl"
