STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722780,23183, 20150101,   39.9,24,   31.4,24, 1017.5,24,  977.5,24,  10.0,24,   4.7,24,  12.0, 999.9,   50.0 ,  35.1 , 0.11G,999.9, 010000,
722780,23183, 20150102,   40.3,24,   27.1,24, 1017.9,24,  977.8,24,  10.0,24,   3.4,24,   7.0, 999.9,   54.0 ,  30.9 , 0.00G,999.9, 000000,
722780,23183, 20150103,   43.1,24,   27.5,24, 1020.8,24,  980.8,24,  10.0,24,   4.9,24,   8.9, 999.9,   54.0 ,  30.9 , 0.00G,999.9, 000000,
722780,23183, 20150104,   47.1,24,   30.1,24, 1026.4,24,  986.3,24,  10.0,24,   2.5,24,   5.1, 999.9,   64.9 ,  34.0 , 0.00G,999.9, 000000,
722780,23183, 20150105,   54.5,24,   32.1,24, 1025.4,24,  985.6,24,  10.0,24,   2.4,24,   8.9, 999.9,   73.9 ,  35.1 , 0.00G,999.9, 000000,
722780,23183, 20150106,   59.2,24,   31.5,24, 1023.3,24,  983.8,24,  10.0,24,   3.3,24,   8.9, 999.9,   79.0 ,  39.9 , 0.00G,999.9, 000000,
722780,23183, 20150107,   62.2,24,   35.0,24, 1020.2,24,  981.0,24,  10.0,24,   2.6,24,   8.0, 999.9,   81.0 ,  44.1 , 0.00G,999.9, 000000,
722780,23183, 20150108,   65.1,24,   35.5,24, 1017.5,24,  978.5,24,  10.0,24,   7.8,24,  15.0, 999.9,   81.0 ,  46.9 , 0.00G,999.9, 000000,
722780,23183, 20150109,   60.3,24,   38.2,24, 1015.4,24,  976.4,24,  10.0,24,   5.9,24,  12.0,  15.9,   75.0 ,  51.1 , 0.00G,999.9, 000000,
722780,23183, 20150110,   61.2,24,   39.1,24, 1016.0,24,  977.0,24,  10.0,24,   5.6,24,   8.9, 999.9,   75.0 ,  51.1 , 0.00G,999.9, 010000,
722780,23183, 20150111,   60.1,24,   44.1,24, 1016.4,24,  977.2,24,  10.0,24,   4.0,24,   8.9, 999.9,   72.0 ,  54.0 , 0.00G,999.9, 000000,
722780,23183, 20150112,   61.9,24,   52.7,24, 1017.8,24,  978.7,24,   9.6,24,   3.1,24,   7.0, 999.9,   72.0 ,  54.0 , 0.03G,999.9, 010000,
722780,23183, 20150113,   58.0,24,   51.0,24, 1016.2,24,  977.1,24,   9.7,24,   2.6,24,  13.0, 999.9,   66.9 ,  54.0 , 0.02G,999.9, 010000,
722780,23183, 20150114,   55.0,24,   44.5,24, 1017.5,24,  978.1,24,  10.0,24,   3.3,24,   7.0, 999.9,   66.9 ,  46.0 , 0.11G,999.9, 000000,
722780,23183, 20150115,   57.7,24,   38.3,24, 1022.7,24,  983.2,24,  10.0,24,   4.3,24,  13.0, 999.9,   72.0 ,  46.0 , 0.00G,999.9, 000000,
722780,23183, 20150116,   61.6,24,   33.9,24, 1021.4,24,  982.1,24,  10.0,24,   5.3,24,  13.0, 999.9,   73.9 ,  46.9 , 0.00G,999.9, 000000,
722780,23183, 20150117,   59.3,24,   32.2,24, 1020.5,24,  981.2,24,  10.0,24,   4.2,24,   8.0, 999.9,   73.9 ,  46.9 , 0.00G,999.9, 000000,
722780,23183, 20150118,   60.5,24,   35.6,24, 1022.2,24,  982.8,24,  10.0,24,   3.2,24,   7.0, 999.9,   75.0 ,  46.9 , 0.00G,999.9, 000000,
722780,23183, 20150119,   61.5,24,   37.9,24, 1019.2,24,  980.0,24,  10.0,24,   3.4,24,   8.0, 999.9,   75.0 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150120,   60.6,24,   38.8,24, 1015.3,24,  976.2,24,  10.0,24,   3.1,24,   7.0, 999.9,   75.0 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150121,   62.8,24,   39.0,24, 1010.1,24,  971.3,24,  10.0,24,   1.9,24,  17.1,  22.0,   75.0 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150122,   59.2,24,   21.4,24, 1018.2,24,  979.0,24,  10.0,24,   8.7,24,  17.1,  22.0,   73.9 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150123,   54.7,24,   18.7,24, 1024.6,24,  985.0,24,  10.0,24,   5.9,24,  13.0, 999.9,   64.9 ,  43.0 , 0.00G,999.9, 000000,
722780,23183, 20150124,   61.0,24,   17.8,24, 1019.1,24,  979.8,24,  10.0,24,   8.0,24,  19.0,  21.0,   77.0 ,  43.0 , 0.00G,999.9, 000000,
722780,23183, 20150125,   62.7,24,   21.4,24, 1017.0,24,  977.9,24,  10.0,24,   3.5,24,   9.9, 999.9,   78.1 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150126,   61.9,24,   29.0,24, 1017.9,24,  978.8,24,  10.0,24,   2.6,24,   7.0, 999.9,   78.1 ,  48.0 , 0.00G,999.9, 000000,
722780,23183, 20150127,   61.4,24,   46.1,24, 1020.7,24,  981.4,24,  10.0,24,   3.4,24,   8.0, 999.9,   73.9 ,  53.1 , 0.01G,999.9, 010000,
722780,23183, 20150128,   63.4,24,   49.3,24, 1019.4,24,  980.3,24,  10.0,24,   2.7,24,   8.0, 999.9,   75.0 ,  52.0 , 0.00G,999.9, 000000,
722780,23183, 20150129,   65.1,24,   49.0,24, 1016.4,24,  977.5,24,  10.0,24,   3.2,24,   8.0, 999.9,   75.0 ,  52.0 , 0.00G,999.9, 010000,
722780,23183, 20150130,   59.1,24,   56.2,24, 1013.1,21,  973.9,24,   6.0,24,   5.3,24,  11.1, 999.9,   71.1 ,  57.0 , 0.41G,999.9, 010000,
