STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725200,94823, 20150101,   24.9,24,    6.8,24, 1022.2,24,  976.2,24,  10.0,24,  11.6,24,  18.1,  27.0,   35.1 ,  17.1 , 0.00G,999.9, 000000,
725200,94823, 20150102,   31.5,24,   17.4,24, 1024.5,24,  978.8,24,  10.0,24,   7.4,24,  11.1,  18.1,   37.0 ,  19.9 , 0.00G,999.9, 000000,
725200,94823, 20150103,   32.3,24,   27.6,24, 1024.6,23,  979.0,24,   6.6,24,   4.8,24,  11.1, 999.9,   44.1 ,  24.1 , 0.02G,999.9, 110000,
725200,94823, 20150104,   53.2,24,   47.7,24, 1009.9,24,  965.4,24,   9.4,24,  11.6,24,  18.1,  31.1,   64.9 ,  24.1 , 0.57G,999.9, 010000,
725200,94823, 20150105,   24.5,24,   14.8,24, 1026.7,21,  980.5,24,   8.4,24,  15.3,24,  22.0,  28.9,   37.9*,  14.0*, 0.03G,999.9, 011000,
725200,94823, 20150106,   15.4,24,    7.6,24, 1027.8,18,  980.6,24,   5.5,24,   5.3,24,  12.0,  15.0,   32.0 ,  12.9 , 0.13G,999.9, 001000,
725200,94823, 20150107,   12.3,24,    3.2,24, 1022.2,18,  976.9,24,   7.1,24,  13.6,24,  31.1,  54.4,   17.1*,   6.1*, 0.03G,  1.2, 001000,
725200,94823, 20150108,    3.8,24,   -6.1,24, 1031.4,15,  985.6,24,   9.4,24,   9.9,24,  17.1,  19.0,   10.9 ,  -0.9 , 0.01G,  1.2, 001000,
725200,94823, 20150109,   17.5,24,    6.4,24, 1019.8,17,  972.6,24,   6.0,24,  13.0,24,  24.1,  31.1,   21.2*,  10.9*, 0.01G,  1.2, 001000,
725200,94823, 20150110,    6.9,24,   -4.8,24, 1033.4,23,  985.6,24,   9.8,24,   8.1,24,  17.1,  22.9,   21.0 ,   0.0 , 0.01G,  2.0, 001000,
725200,94823, 20150111,   21.3,24,    3.8,24, 1033.5,24,  986.6,24,  10.0,24,   4.8,24,   8.9, 999.9,   37.9 ,   0.0 , 0.00G,  2.0, 000000,
725200,94823, 20150112,   34.2,24,   28.7,24, 1026.9,20,  980.8,24,   5.5,24,   5.3,24,  14.0, 999.9,   37.0*,  30.9*, 0.12G,  1.2, 011000,
725200,94823, 20150113,   21.8,24,   12.5,24, 1034.4,23,  988.0,24,   9.6,24,   9.8,24,  17.1,  24.1,   36.0 ,  14.0 , 0.05G,999.9, 001000,
725200,94823, 20150114,   18.5,24,    7.1,24, 1028.9,24,  982.4,24,  10.0,24,   3.0,24,   7.0, 999.9,   26.1 ,  10.9 , 0.00G,999.9, 000000,
725200,94823, 20150115,   21.9,24,   13.7,24, 1023.5,24,  977.3,24,   9.7,24,   5.1,24,  11.1,  15.9,   30.9 ,  10.9 , 0.00G,999.9, 001000,
725200,94823, 20150116,   29.4,24,   19.6,24, 1018.8,22,  972.9,24,   9.0,24,   9.9,24,  15.9,  22.9,   34.0 ,  16.0 , 0.00G,999.9, 001000,
725200,94823, 20150117,   28.6,24,   16.6,24, 1022.6,24,  976.8,24,  10.0,24,   6.4,24,  11.1,  14.0,   50.0 ,  17.1 , 0.00G,999.9, 000000,
725200,94823, 20150118,   41.9,24,   29.1,24, 1010.8,23,  966.1,24,   9.8,24,   8.2,24,  14.0,  22.9,   46.0*,  36.0*, 0.00G,999.9, 011000,
725200,94823, 20150119,   34.5,24,   27.6,24, 1014.9,23,  969.9,24,   9.3,24,   7.3,24,  11.1, 999.9,   46.0 ,  32.0 , 0.02G,999.9, 001000,
725200,94823, 20150120,   31.6,24,   27.4,24, 1014.8,24,  969.6,24,   6.7,24,   0.9,24,   5.1, 999.9,   37.9 ,  28.0 , 0.00G,999.9, 001000,
725200,94823, 20150121,   32.4,24,   30.8,24, 1017.8,18,  972.3,24,   3.4,24,   3.7,24,  11.1,  17.1,   36.0 ,  28.0 , 0.13G,999.9, 001000,
725200,94823, 20150122,   32.3,24,   28.3,24, 1025.0,20,  979.2,24,   7.9,24,   7.0,24,  11.1, 999.9,   36.0 ,  30.0 , 0.12G,  1.2, 011000,
725200,94823, 20150123,   29.8,24,   22.6,24, 1026.5,24,  980.7,24,   8.6,24,   3.1,24,   8.0, 999.9,   34.0 ,  27.0 , 0.00G,  2.0, 001000,
725200,94823, 20150124,   29.4,24,   25.1,24, 1007.6,21,  962.8,24,   4.8,24,   4.5,24,  11.1,  17.1,   34.0 ,  25.0 , 0.08G,999.9, 001000,
725200,94823, 20150125,   32.7,24,   30.4,24, 1008.7,19,  963.6,24,   3.4,24,   6.2,24,  11.1,  17.1,   35.1 ,  25.0 , 0.04G,999.9, 011000,
725200,94823, 20150126,   27.7,24,   25.7,24, 1008.6,23,  963.5,24,   2.5,24,   7.3,24,  12.0, 999.9,   35.1 ,  23.0 , 0.33G,  1.2, 001000,
725200,94823, 20150127,   20.5,24,   16.1,24, 1014.4,20,  968.8,24,   6.3,24,   9.1,24,  13.0, 999.9,   28.9 ,  19.0 , 0.06G,  3.9, 001000,
725200,94823, 20150128,   16.7,24,   10.1,24, 1026.1,21,  979.6,24,   8.9,24,   6.4,24,  11.1, 999.9,   24.1 ,  10.0 , 0.04G,  5.9, 001000,
725200,94823, 20150129,   24.8,24,   17.6,24, 1020.7,22,  974.3,24,   9.0,24,   5.0,24,   9.9, 999.9,   39.0 ,  10.0 , 0.00G,  5.9, 011000,
725200,94823, 20150130,   25.9,24,   20.9,24, 1022.2,18,  975.3,24,   3.7,24,  14.0,24,  21.0,  27.0,   39.0 ,  14.0 , 0.50G,  3.9, 011000,
725200,94823, 20150131,   14.5,24,    6.8,24, 1029.7,23,  983.1,24,   9.4,24,   5.8,24,  17.1, 999.9,   30.9 ,   3.9 , 0.08G,  7.1, 001000,
725200,94823, 20150201,   28.5,24,   23.1,24, 1021.6,20,  975.9,24,   5.4,24,   4.9,24,   8.0, 999.9,   33.1*,  24.1*, 0.02G,  7.1, 011000,
725200,94823, 20150202,   28.7,24,   24.8,24, 1006.9,21,  960.7,24,   5.2,24,  12.4,24,  22.0,  33.0,   39.0 ,  17.1 , 0.58G,  7.1, 111000,
