STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
724340,13994, 20150101,   29.4,24,   12.5,24, 1026.9,24,  999.8,24,  10.0,24,   9.6,24,  17.1,  21.0,   41.0 ,  12.9 , 0.00G,999.9, 000000,
724340,13994, 20150102,   37.1,24,   28.0,24, 1025.3,23,  998.5,24,   7.8,24,   4.8,24,   8.9, 999.9,   41.0 ,  24.1 , 0.02G,999.9, 010000,
724340,13994, 20150103,   38.6,24,   36.0,24, 1016.9,12,  988.3,24,   3.8,24,   5.4,24,   9.9, 999.9,   42.8*,  37.0*, 0.35G,999.9, 010000,
724340,13994, 20150104,   32.9,24,   27.6,24, 1021.8,15,  992.5,24,   6.0,24,  10.6,24,  21.0,  29.9,   41.0*,  19.4*, 0.30G,999.9, 011000,
724340,13994, 20150105,   17.6,24,    3.6,24, 1039.4,24, 1011.3,24,  10.0,24,   6.7,24,  12.0,  22.0,   23.0*,  12.9*, 0.01G,999.9, 000000,
724340,13994, 20150106,   26.2,24,   12.3,24, 1029.4,24, 1002.1,24,  10.0,24,   9.7,24,  15.9,  21.0,   30.0 ,  12.0 , 0.00G,999.9, 000000,
724340,13994, 20150107,   16.6,24,    3.3,24, 1040.5,20, 1012.2,24,   9.0,24,  14.0,24,  20.0,  28.0,   30.0 ,   8.1 , 0.03G,999.9, 001000,
724340,13994, 20150108,    9.7,24,   -5.7,24, 1037.5,24, 1007.9,24,  10.0,24,   8.7,24,  15.9,  25.1,   27.0 ,   3.0 , 0.01G,999.9, 000000,
724340,13994, 20150109,   22.8,24,    4.0,24, 1029.1,24, 1001.8,24,   9.9,24,  13.2,24,  19.0,  27.0,   32.0 ,   3.0 , 0.00G,999.9, 001000,
724340,13994, 20150110,   18.8,24,    2.2,24, 1034.8,24, 1006.6,24,  10.0,24,   6.0,24,  12.0,  17.1,   34.0 ,  10.0 , 0.00G,999.9, 000000,
724340,13994, 20150111,   33.7,24,   14.4,24, 1027.4,23, 1000.1,24,   9.2,24,   6.2,24,   9.9, 999.9,   37.9*,  30.9*, 0.00G,999.9, 010000,
724340,13994, 20150112,   33.5,24,   28.2,24, 1029.4,17, 1001.7,24,   6.0,24,   8.7,24,  15.0,  21.0,   37.9 ,  24.1 , 0.32G,999.9, 011000,
724340,13994, 20150113,   19.5,24,    8.1,24, 1038.2,24, 1010.3,24,  10.0,24,   8.2,24,  14.0,  15.0,   36.0 ,  12.9 , 0.03G,999.9, 001000,
724340,13994, 20150114,   19.9,24,   10.6,24, 1031.8,24, 1003.8,24,   9.8,24,   3.4,24,   8.0, 999.9,   30.0 ,  12.9 , 0.00G,999.9, 000000,
724340,13994, 20150115,   32.3,24,   17.9,24, 1024.2,24,  996.8,24,   9.9,24,   4.2,24,  12.0, 999.9,   46.9 ,  12.9 , 0.00G,999.9, 000000,
724340,13994, 20150116,   38.5,24,   25.0,24, 1022.3,24,  995.6,24,  10.0,24,   4.3,24,   9.9, 999.9,   53.1 ,  19.9 , 0.00G,999.9, 000000,
724340,13994, 20150117,   46.1,24,   30.3,24, 1013.5,24,  987.0,24,  10.0,24,   9.2,24,  21.0,  28.9,   63.0 ,  24.1 , 0.00G,999.9, 000000,
724340,13994, 20150118,   45.7,24,   27.7,24, 1014.6,24,  988.9,24,  10.0,24,   9.1,24,  17.1,  22.0,   63.0 ,  30.9 , 0.00G,999.9, 000000,
724340,13994, 20150119,   42.0,24,   26.7,24, 1015.5,24,  989.1,24,  10.0,24,   3.8,24,   7.0, 999.9,   57.9 ,  30.0 , 0.00G,999.9, 000000,
724340,13994, 20150120,   40.4,24,   30.2,24, 1014.5,24,  988.4,24,   9.7,24,   4.3,24,  11.1, 999.9,   55.9 ,  30.0 , 0.00G,999.9, 000000,
724340,13994, 20150121,   41.4,24,   29.3,24, 1019.8,24,  993.7,24,  10.0,24,   8.7,24,  17.1,  25.1,   51.1 ,  30.0 , 0.00G,999.9, 000000,
724340,13994, 20150122,   33.6,24,   25.8,24, 1029.7,24, 1003.1,24,   9.2,24,   3.1,24,   7.0, 999.9,   48.0 ,  27.0 , 0.00G,999.9, 000000,
724340,13994, 20150123,   35.9,24,   24.3,24, 1026.5,24,  999.1,24,   9.8,24,   2.5,24,   6.0, 999.9,   41.0 ,  27.0 , 0.00G,999.9, 000000,
724340,13994, 20150124,   38.2,24,   25.4,24, 1013.3,24,  986.5,24,   9.8,24,   6.8,24,  12.0, 999.9,   55.0 ,  28.9 , 0.00G,999.9, 000000,
724340,13994, 20150125,   47.4,24,   37.1,24, 1005.0,19,  978.9,24,   7.9,24,   8.1,24,  17.1,  24.1,   55.0 ,  30.0 , 0.04G,999.9, 010000,
724340,13994, 20150126,   32.4,24,   24.7,24, 1016.1,20,  989.7,24,   9.3,24,   9.0,24,  18.1,  24.1,   52.0 ,  25.0 , 0.15G,999.9, 011000,
724340,13994, 20150127,   38.5,24,   30.6,24, 1017.8,23,  991.8,24,   9.9,24,   5.3,24,   9.9, 999.9,   46.0 ,  25.0 , 0.00G,999.9, 000000,
724340,13994, 20150128,   35.9,24,   26.9,24, 1023.1,24,  996.0,24,   7.9,24,  10.9,24,  18.1,  25.1,   50.0 ,  28.0 , 0.00G,999.9, 000000,
724340,13994, 20150129,   45.9,24,   33.3,24, 1015.6,24,  990.0,24,   9.7,24,  13.4,24,  19.0,  34.0,   54.0 ,  28.0 , 0.00G,999.9, 000000,
724340,13994, 20150130,   35.0,24,   20.5,24, 1032.8,24, 1006.1,24,  10.0,24,   8.0,24,  21.0,  28.0,   54.0 ,  28.0 , 0.00G,999.9, 000000,
724340,13994, 20150131,   36.8,24,   21.0,24, 1028.5,24, 1001.2,24,  10.0,24,   3.1,24,   6.0, 999.9,   46.9 ,  28.0 , 0.00G,999.9, 010000,
