,V2,V5
1,Baltimore/Washington International Thurgood Marshall Airport,BWI
2,Charlotte Douglas International Airport,CLT
3,Chicago Midway International Airport,MDW
4,Chicago O'Hare International Airport,ORD
5,Cincinnati Northern Kentucky International Airport,CVG
6,Dallas Fort Worth International Airport,DFW
7,Dallas Love Field,DAL
8,Denver International Airport,DEN
9,Detroit Metropolitan Wayne County Airport,DTW
10,Fort Lauderdale Hollywood International Airport,FLL
11,General Edward Lawrence Logan International Airport,BOS
12,George Bush Intercontinental Houston Airport,IAH
13,Hartsfield Jackson Atlanta International Airport,ATL
14,John F Kennedy International Airport,JFK
15,La Guardia Airport,LGA
16,Los Angeles International Airport,LAX
17,McCarran International Airport,LAS
18,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP
19,Nashville International Airport,BNA
20,Newark Liberty International Airport,EWR
21,Orlando International Airport,MCO
22,Palm Beach International Airport,PBI
23,Philadelphia International Airport,PHL
24,Phoenix Sky Harbor International Airport,PHX
25,Pittsburgh International Airport,PIT
26,Ronald Reagan Washington National Airport,DCA
27,San Francisco International Airport,SFO
28,Southwest Florida International Airport,RSW
29,Tampa International Airport,TPA
30,Washington Dulles International Airport,IAD
31,William P Hobby Airport,HOU
