"Time(PIT)"	"Temp(F)"	"Dew_Point(F)"	"Humidity"	"Pressure(in)"	"Visibility(mi)"	"Wind_Dir"	"Wind_Speed(mph)"	"Gust_Speed(mph)"	"Precip(in)"	"Events"	"Conditions"	"Hour"	"Min"	"Date"	"DEST"	"X17"	"X18"	"X19"	"X20"
"1"	"12:51 AM"	"21.0 °F"	"3.9 °F"	"48%"	"30.24 in"	"10.0 mi"	"WSW"	"12.7 mph"	"-"	"N/A"	NA	"Partly Cloudy"	0	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"2"	"1:51 AM"	"21.0 °F"	"3.0 °F"	"46%"	"30.23 in"	"10.0 mi"	"SW"	"11.5 mph"	"-"	"N/A"	NA	"Partly Cloudy"	1	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"3"	"2:51 AM"	"21.9 °F"	"3.0 °F"	"44%"	"30.22 in"	"10.0 mi"	"WSW"	"12.7 mph"	"25.3 mph"	"N/A"	NA	"Partly Cloudy"	2	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"4"	"3:51 AM"	"21.0 °F"	"3.9 °F"	"48%"	"30.22 in"	"10.0 mi"	"WSW"	"10.4 mph"	"23.0 mph"	"N/A"	NA	"Partly Cloudy"	3	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"5"	"4:51 AM"	"21.0 °F"	"3.9 °F"	"48%"	"30.22 in"	"10.0 mi"	"WSW"	"12.7 mph"	"24.2 mph"	"N/A"	NA	"Clear"	4	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"6"	"5:51 AM"	"19.9 °F"	"3.9 °F"	"50%"	"30.22 in"	"10.0 mi"	"SW"	"10.4 mph"	"21.9 mph"	"N/A"	NA	"Clear"	5	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"7"	"6:51 AM"	"19.9 °F"	"5.0 °F"	"52%"	"30.22 in"	"10.0 mi"	"SW"	"11.5 mph"	"18.4 mph"	"N/A"	NA	"Partly Cloudy"	6	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"8"	"7:51 AM"	"19.9 °F"	"5.0 °F"	"52%"	"30.21 in"	"10.0 mi"	"SW"	"10.4 mph"	"18.4 mph"	"N/A"	NA	"Partly Cloudy"	7	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"9"	"8:51 AM"	"21.0 °F"	"5.0 °F"	"50%"	"30.21 in"	"10.0 mi"	"SW"	"17.3 mph"	"25.3 mph"	"N/A"	NA	"Partly Cloudy"	8	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"10"	"9:51 AM"	"23.0 °F"	"6.1 °F"	"48%"	"30.20 in"	"10.0 mi"	"SW"	"16.1 mph"	"26.5 mph"	"N/A"	NA	"Partly Cloudy"	9	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"11"	"10:51 AM"	"26.1 °F"	"8.1 °F"	"47%"	"30.19 in"	"10.0 mi"	"SW"	"13.8 mph"	"24.2 mph"	"N/A"	NA	"Partly Cloudy"	10	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"12"	"11:51 AM"	"28.9 °F"	"9.0 °F"	"43%"	"30.13 in"	"10.0 mi"	"WSW"	"15.0 mph"	"28.8 mph"	"N/A"	NA	"Scattered Clouds"	11	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"13"	"12:51 PM"	"32.0 °F"	"12.0 °F"	"44%"	"30.09 in"	"10.0 mi"	"SW"	"20.7 mph"	"29.9 mph"	"N/A"	NA	"Scattered Clouds"	12	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"14"	"1:51 PM"	"33.1 °F"	"14.0 °F"	"46%"	"30.07 in"	"10.0 mi"	"SW"	"18.4 mph"	"31.1 mph"	"N/A"	NA	"Scattered Clouds"	13	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"15"	"2:51 PM"	"34.0 °F"	"14.0 °F"	"44%"	"30.05 in"	"10.0 mi"	"WSW"	"15.0 mph"	"29.9 mph"	"N/A"	NA	"Scattered Clouds"	14	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"16"	"3:51 PM"	"35.1 °F"	"15.1 °F"	"44%"	"30.05 in"	"10.0 mi"	"WSW"	"15.0 mph"	"29.9 mph"	"N/A"	NA	"Scattered Clouds"	15	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"17"	"4:51 PM"	"34.0 °F"	"15.1 °F"	"46%"	"30.05 in"	"10.0 mi"	"SW"	"15.0 mph"	"23.0 mph"	"N/A"	NA	"Scattered Clouds"	16	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"18"	"5:51 PM"	"33.1 °F"	"14.0 °F"	"46%"	"30.06 in"	"10.0 mi"	"SW"	"11.5 mph"	"-"	"N/A"	NA	"Scattered Clouds"	17	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"19"	"6:51 PM"	"32.0 °F"	"14.0 °F"	"48%"	"30.08 in"	"10.0 mi"	"SW"	"11.5 mph"	"-"	"N/A"	NA	"Scattered Clouds"	18	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"20"	"7:51 PM"	"32.0 °F"	"12.9 °F"	"45%"	"30.11 in"	"10.0 mi"	"SW"	"6.9 mph"	"-"	"N/A"	NA	"Scattered Clouds"	19	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"21"	"8:51 PM"	"32.0 °F"	"12.9 °F"	"45%"	"30.14 in"	"10.0 mi"	"WSW"	"10.4 mph"	"19.6 mph"	"N/A"	NA	"Scattered Clouds"	20	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"22"	"9:51 PM"	"32.0 °F"	"14.0 °F"	"48%"	"30.15 in"	"10.0 mi"	"WSW"	"11.5 mph"	"20.7 mph"	"N/A"	NA	"Mostly Cloudy"	21	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"23"	"10:51 PM"	"32.0 °F"	"16.0 °F"	"52%"	"30.17 in"	"10.0 mi"	"WSW"	"8.1 mph"	"18.4 mph"	"N/A"	NA	"Overcast"	22	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"24"	"11:51 PM"	"30.9 °F"	"16.0 °F"	"54%"	"30.18 in"	"10.0 mi"	"SW"	"8.1 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	23	51	"2015/1/1"	"PIT"	NA	NA	NA	NA
"51"	"12:51 AM"	"30.9 °F"	"17.1 °F"	"57%"	"30.19 in"	"10.0 mi"	"WSW"	"10.4 mph"	"-"	"N/A"	NA	"Scattered Clouds"	0	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"52"	"1:51 AM"	"30.9 °F"	"18.0 °F"	"59%"	"30.19 in"	"10.0 mi"	"WSW"	"8.1 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	1	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"53"	"2:51 AM"	"30.0 °F"	"18.0 °F"	"61%"	"30.21 in"	"10.0 mi"	"SW"	"8.1 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	2	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"54"	"3:51 AM"	"28.9 °F"	"18.0 °F"	"64%"	"30.22 in"	"10.0 mi"	"WSW"	"9.2 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	3	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"55"	"4:51 AM"	"28.0 °F"	"19.0 °F"	"69%"	"30.22 in"	"10.0 mi"	"WSW"	"6.9 mph"	"-"	"N/A"	NA	"Partly Cloudy"	4	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"56"	"5:51 AM"	"28.0 °F"	"18.0 °F"	"66%"	"30.25 in"	"10.0 mi"	"SW"	"8.1 mph"	"-"	"N/A"	NA	"Scattered Clouds"	5	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"57"	"6:51 AM"	"28.0 °F"	"19.0 °F"	"69%"	"30.28 in"	"10.0 mi"	"WSW"	"5.8 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	6	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"58"	"7:51 AM"	"28.0 °F"	"18.0 °F"	"66%"	"30.30 in"	"10.0 mi"	"WSW"	"8.1 mph"	"-"	"N/A"	NA	"Scattered Clouds"	7	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"59"	"8:51 AM"	"28.0 °F"	"19.0 °F"	"69%"	"30.33 in"	"10.0 mi"	"WSW"	"5.8 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	8	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"60"	"9:51 AM"	"30.0 °F"	"18.0 °F"	"61%"	"30.35 in"	"10.0 mi"	"West"	"12.7 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	9	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"61"	"10:51 AM"	"30.9 °F"	"18.0 °F"	"59%"	"30.35 in"	"10.0 mi"	"West"	"9.2 mph"	"-"	"N/A"	NA	"Scattered Clouds"	10	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"62"	"11:51 AM"	"33.1 °F"	"18.0 °F"	"54%"	"30.34 in"	"10.0 mi"	"WSW"	"10.4 mph"	"-"	"N/A"	NA	"Scattered Clouds"	11	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"63"	"12:51 PM"	"35.1 °F"	"19.0 °F"	"52%"	"30.33 in"	"10.0 mi"	"WNW"	"10.4 mph"	"16.1 mph"	"N/A"	NA	"Mostly Cloudy"	12	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"64"	"1:51 PM"	"36.0 °F"	"19.0 °F"	"50%"	"30.32 in"	"10.0 mi"	"West"	"12.7 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	13	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"65"	"2:51 PM"	"36.0 °F"	"18.0 °F"	"48%"	"30.34 in"	"10.0 mi"	"West"	"9.2 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	14	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"66"	"3:51 PM"	"36.0 °F"	"19.0 °F"	"50%"	"30.36 in"	"10.0 mi"	"WSW"	"5.8 mph"	"-"	"N/A"	NA	"Overcast"	15	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"67"	"4:51 PM"	"34.0 °F"	"19.0 °F"	"54%"	"30.37 in"	"10.0 mi"	"West"	"4.6 mph"	"-"	"N/A"	NA	"Overcast"	16	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
"68"	"5:51 PM"	"33.1 °F"	"19.0 °F"	"56%"	"30.38 in"	"10.0 mi"	"WSW"	"3.5 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	17	51	"2015/1/2"	"PIT"	NA	NA	NA	NA
