STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722030,12844, 20150101,   74.1,24,   69.7,24, 1021.1,22, 1020.5,24,   9.1,24,   5.5,24,   9.9, 999.9,   79.0 ,  70.0 , 0.33G,999.9, 010000,
722030,12844, 20150102,   76.2,24,   70.8,24, 1022.1,19, 1021.5,24,   9.6,24,   6.6,24,  14.0, 999.9,   82.9 ,  71.1 , 0.19G,999.9, 010000,
722030,12844, 20150103,   78.4,24,   70.5,24, 1022.7,24, 1022.0,24,  10.0,24,  12.0,24,  19.0,  25.1,   82.9 ,  71.1 , 0.00G,999.9, 000000,
722030,12844, 20150104,   79.3,24,   70.3,24, 1023.1,24, 1022.5,24,  10.0,24,  11.8,24,  19.0,  25.1,   84.0 ,  75.9 , 0.00G,999.9, 000000,
722030,12844, 20150105,   75.4,24,   70.1,24, 1025.0,22, 1024.3,24,  10.0,24,   5.0,24,  17.1,  20.0,   84.0 ,  68.0 , 0.00G,999.9, 010000,
722030,12844, 20150106,   76.8,24,   67.5,24, 1024.5,24, 1024.0,24,  10.0,24,   6.6,24,   8.9, 999.9,   82.0 ,  68.0 , 0.00G,999.9, 010000,
722030,12844, 20150107,   72.6,24,   63.1,24, 1020.9,24, 1020.3,24,  10.0,24,   5.1,24,  11.1, 999.9,   82.0 ,  66.0 , 0.00G,999.9, 000000,
722030,12844, 20150108,   63.0,24,   47.9,24, 1022.8,24, 1022.2,24,  10.0,24,  11.5,24,  18.1,  24.1,   78.1 ,  55.9 , 0.00G,999.9, 000000,
722030,12844, 20150109,   71.0,24,   59.1,24, 1022.6,23, 1021.9,24,   9.7,24,   9.3,24,  15.9,  21.0,   79.0 ,  55.9 , 0.00G,999.9, 010000,
722030,12844, 20150110,   66.2,24,   59.5,24, 1024.3,23, 1023.6,24,   9.9,24,   9.3,24,  13.0, 999.9,   79.0 ,  57.0 , 0.31G,999.9, 000000,
722030,12844, 20150111,   75.1,24,   65.8,24, 1024.6,24, 1023.9,24,   9.8,24,  13.0,24,  18.1,  22.9,   79.0*,  73.0*, 0.01G,999.9, 010000,
722030,12844, 20150112,   77.2,24,   70.7,24, 1021.6,21, 1021.2,24,   9.8,24,  13.2,24,  18.1,  22.9,   82.0 ,  73.0 , 0.06G,999.9, 010000,
722030,12844, 20150113,   75.1,24,   69.3,24, 1018.0,23, 1017.5,24,  10.0,24,   6.3,24,  13.0, 999.9,   82.0 ,  69.1 , 0.10G,999.9, 010000,
722030,12844, 20150114,   72.0,24,   66.5,24, 1017.3,18, 1016.7,24,   6.9,24,   8.4,24,  14.0, 999.9,   81.0 ,  68.0 , 0.07G,999.9, 100000,
722030,12844, 20150115,   68.9,24,   63.1,24, 1017.8,21, 1017.2,24,   9.6,24,   8.3,24,  12.0, 999.9,   78.1 ,  63.0 , 0.00G,999.9, 010000,
